language,percentage_kept
Polish,0.04797699305756391
Czech,0.028822507363244685
Hungarian,0.08233366302296855
Finnish,0.1056070084323138
Danish,0.02048614855583423
German,0.0648159620574077
Italian,0.02132810320227204
Spanish,0.012599183422024674
Greek,0.014321843305758003
Lithuanian,0.07174025304378903
Swedish,0.025228505800556456
Romanian,0.07128513821674352
Slovenian,0.1024394189976271
French,0.04141160250622544
Bulgarian,0.03802687217973409
Slovak,0.06039510135937009
Portuguese,0.03692153687456326
English,0.0485893700438273
Dutch,0.07688448427989325
Estonian,0.0663382477711788
Latvian,0.11285439935103589
