language,percentage_kept
German,0.11453197393610397
Bulgarian,0.12406293352651299
Hungarian,0.1473422262725105
Finnish,0.11393470433003425
Romanian,0.11429667499550296
Slovenian,0.11841338894082117
Danish,0.17845878582345323
Lithuanian,0.13016602766330093
Slovak,0.10800843370148673
Polish,0.08977343045513507
Latvian,0.11389303751166928
Irish,0.11427042215829264
Czech,0.09892336212843555
Maltese,0.014285714285714285
Spanish,0.12249757049598763
Dutch,0.12726144619204185
French,0.11526133975761947
Greek,0.1137586881221508
English,0.1297194993627102
Estonian,0.14065838512075834
Portuguese,0.13060760673048127
Croatian,0.01295271629778672
Swedish,0.11366645854791582
Italian,0.09846551184439427
